"timestamp","tag","question","n_predict","ctx","reasoning","arena_mb","ws_cap_mb","wall_s","killed","kill_reason","min_free_mb","exit_code","answer_file"
"20260810-040609","qual","q09_instr_exact","200","1024","off","2600","9000","86.66","False","","1736.6","0","q09_instr_exact.answer.txt"
"20260810-040813","qual-run1","q01_arith_mult","200","1024","off","2600","9000","111.7","False","","2247.3","0","q01_arith_mult.answer.txt"
"20260810-041004","qual-run1","q02_arith_word","200","1024","off","2600","9000","121","False","","2165.8","0","q02_arith_word.answer.txt"
"20260810-041206","qual-run1","q03_fact_capital","200","1024","off","2600","9000","90.53","False","","2570.2","0","q03_fact_capital.answer.txt"
"20260810-041336","qual-run1","q04_fact_author","200","1024","off","2600","9000","99.71","False","","2581.1","0","q04_fact_author.answer.txt"
"20260810-041516","qual-run1","q05_fact_year","200","1024","off","2600","9000","95.24","False","","2597","0","q05_fact_year.answer.txt"
"20260810-041651","qual-run1","q06_reason_order","200","1024","off","2600","9000","106.12","False","","2552.5","0","q06_reason_order.answer.txt"
"20260810-041837","qual-run1","q07_reason_widgets","200","1024","off","2600","9000","117.14","False","","2667.8","0","q07_reason_widgets.answer.txt"
"20260810-042034","qual-run1","q08_instr_list","200","1024","off","2600","9000","102.19","False","","3084.6","0","q08_instr_list.answer.txt"
"20260810-042217","qual-run1","q10_code_write","200","1024","off","2600","9000","265.7","False","","3033.8","0","q10_code_write.answer.txt"
"20260810-042642","qual-run1","q11_code_read","200","1024","off","2600","9000","119.67","False","","2677","0","q11_code_read.answer.txt"
"20260810-042842","qual-run1","q12_lang_translate","200","1024","off","2600","9000","108.18","False","","3072.7","0","q12_lang_translate.answer.txt"
"20260810-043030","qual-run1","q13_coherence_explain","200","1024","off","2600","9000","394.47","False","","3059.7","0","q13_coherence_explain.answer.txt"
"20260810-044747","qual-run1","q14_selfaware_divzero","200","1024","off","2600","9000","452.53","True","timeout","2665.8","-1","q14_selfaware_divzero.answer.txt"
"20260810-045544","qual-run1","q15_halluc_mars","200","1024","off","2600","9000","100.38","False","","2738.3","0","q15_halluc_mars.answer.txt"
"20260810-045832","qual-reason","q02_arith_word","350","1024","on","2600","9000","391.82","False","","2639.6","0","q02_arith_word.answer.20260810-045832.txt"
"20260810-050504","qual-reason","q03_fact_capital","350","1024","on","2600","9000","235.53","False","","2855.6","0","q03_fact_capital.answer.20260810-050504.txt"
"20260810-052231","qual-reason","q15_halluc_mars","350","1024","on","2600","9000","502.85","True","timeout","2187.8","-1","q15_halluc_mars.answer.20260810-052231.txt"
